Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9652358,Conversazioni notturne a Gerusalemme. Sul rischio della fede,Carlo Maria Martini,"Martini, Carlo Maria","Georg Sporschill, Francesca Maria Gimelli","=""8804583916""","=""9788804583912""",1,3.94,Mondadori,Hardcover,132,2008,2008,,2014/11/03,religione,religione (#23),read,,,,1,0
675066,Tale of the Anti-Christ,Vladimir Sergeyevich Solovyov,"Solovyov, Vladimir Sergeyevich",,"=""1558181628""","=""9781558181625""",5,4.16,Holmes Pub Group Llc,Paperback,23,1989,1900,,2014/11/07,"fantasy, religione","fantasy (#9), religione (#22)",read,,,,1,0
23516775,Il vangelo della misericordia per le famiglie ferite,Dionigi Tettamanzi,"Tettamanzi, Dionigi",,"=""882159291X""","=""9788821592911""",3,3.00,San Paolo,Paperback,283,2014,2014,2014/11/10,2014/11/08,religione,religione (#21),read,,,,1,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",4,4.38,"Farrar, Straus and Giroux",Paperback,796,2002,1880,2015/01/19,2014/11/20,"classici, spirituale, romanzo","classici (#6), spirituale (#9), romanzo (#5)",read,,,,1,0
23592899,"San Vincenza Ferreri, apostolo e taumaturgo",Ubaldo Tomarelli,"Tomarelli, Ubaldo",,"=""8870945928""","=""9788870945928""",5,5.00,Edizioni Studio Domenicano,Paperback,0,2005,2005,2014/12/31,2014/11/20,"storia, religione","storia (#6), religione (#20)",read,,,,1,0
23675145,Lo spirito prega in noi,André Louf,"Louf, André",,"=""888522766X""","=""9788885227668""",2,3.40,Qiqajon,Paperback,0,,,2014/12/31,2014/12/04,spirituale,spirituale (#8),read,,,,1,0
3245424,Guida galattica per gli autostoppisti,Douglas Adams,"Adams, Douglas",Laura Serra,"=""8804464631""","=""9788804464631""",4,4.22,Mondadori,Paperback,213,1999,1979,,2014/12/20,"fantascienza, avventura","fantascienza (#6), avventura (#6)",read,,,,1,0
24278634,Isaia: commento esegetico-spirituale,Alberto Mello,"Mello, Alberto",,"=""""","=""""",4,4.00,,Paperback,,1985,1985,2015/01/19,2015/01/03,religione,religione (#19),read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",4,4.20,New American Library,Mass Market Paperback,328,1950,1949,2015/02/18,2015/01/07,"fantascienza, avventura","fantascienza (#5), avventura (#5)",read,,,,1,0
24578316,Custodisci il tuo cuore : La lotta contro le tentazioni,Enzo Bianchi,"Bianchi, Enzo",,"=""8821577120""","=""9788821577123""",1,3.80,San Paolo,Paperback,60,2012,,2015/01/18,2015/01/19,religione,religione (#18),read,"Non parla di nessun metodo classico per la difesa contro gli attacchi del demonio (ad esempio, banale, ma non cita i sacramenti)",,,1,0
